rep,Ne,n0,n1,L,pi0,pi1,relative_change,num_sites
0,1000,2,2,500,0.066,0.064,-3.030303030303033,34
0,1000,2,2,1000,0.017,0.026,52.94117647058822,131
0,1000,2,2,2000,0.0165,0.0725,339.3939393939394,205
0,1000,2,2,5000,0.0774,0.0118,-84.75452196382427,443
0,1000,2,2,10000,0.0147,0.0121,-17.687074829931973,266
0,1000,2,2,20000,0.01925,0.019,-1.2987012987012998,427
0,1000,2,2,50000,0.08072,0.01192,-85.23290386521307,4621
0,1000,2,2,100000,0.0259,0.05218,101.46718146718146,8013
0,1000,2,2,200000,0.066835,0.056465,-15.515822548066136,20769
0,1000,2,2,500000,0.014254,0.054854,284.83232776764413,37848
0,1000,2,2,1000000,0.032278,0.040182,24.487266869074915,53480
0,1000,5,5,1,0.0,0.0,,0
0,1000,5,5,2,0.0,0.0,,0
0,1000,5,5,5,0.12,0.12,0.0,1
0,1000,5,5,10,0.08,0.04,-50.0,2
0,1000,5,5,20,0.0,0.1,inf,4
0,1000,5,5,50,0.016,0.008,-50.0,3
0,1000,5,5,100,0.05400000000000001,0.01,-81.48148148148148,13
0,1000,5,5,200,0.029000000000000005,0.011,-62.06896551724139,15
0,1000,5,5,500,0.04299999999999999,0.03520000000000001,-18.139534883720888,54
0,1000,5,5,1000,0.010800000000000002,0.009800000000000001,-9.259259259259265,39
0,1000,5,5,2000,0.06749999999999978,0.0539500000000002,-20.07407407407352,288
0,1000,5,5,5000,0.02716000000000015,0.023840000000000104,-12.223858615611292,420
0,1000,5,5,10000,0.03777,0.0272900000000001,-27.74688906539555,857
0,1000,5,5,20000,0.028600000000000018,0.024699999999999767,-13.636363636364504,1593
0,1000,5,5,50000,0.02393399999999985,0.010413999999999892,-56.48867719562147,3240
0,1000,5,5,100000,0.019461999999999365,0.0209770000000001,7.78440036995573,5513
0,1000,5,5,200000,0.036403000000002024,0.03630099999999916,-0.2801966870940802,20056
0,1000,5,5,500000,0.0560622000000262,0.04253580000001364,-24.127486969841065,66563
0,1000,5,5,1000000,0.02933840000000053,0.03612300000001013,23.12532380773825,91367
0,1000,10,10,1,0.0,0.0,,0
